device id,month,server location,iperf type,duration,iperf run number,successful?
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64495,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64498,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64500,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64511,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64508,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64483,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64484,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64514,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64515,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64516,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64517,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64518,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64519,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64520,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64521,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64522,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64523,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64527,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64529,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64531,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64539,yes
HUCKLEBERRY_830,dec,west-central,tcp1c,30,64537,yes
HUCKLEBERRY_830,dec,west-central,tcp1c,30,64538,yes
,,,,,,
,,,,,,
HUCKLEBERRY_830,dec,east,tcp8,30,64545,yes
HUCKLEBERRY_830,dec,east,tcp8,30,64546,yes
HUCKLEBERRY_830,dec,east,tcp8,30,64547,yes
HUCKLEBERRY_830,dec,east,tcp8,30,64550,yes
HUCKLEBERRY_830,dec,east2,tcp8,30,64552,yes
HUCKLEBERRY_830,dec,east2,tcp8,30,64553,yes
HUCKLEBERRY_830,dec,east2,tcp8,30,64554,yes
HUCKLEBERRY_830,dec,east2,tcp8,30,64555,yes
HUCKLEBERRY_830,dec,west,tcp8,30,64556,yes
HUCKLEBERRY_830,dec,west,tcp8,30,64559,yes
HUCKLEBERRY_830,dec,west,tcp8,30,64560,yes
HUCKLEBERRY_830,dec,west,tcp8,30,64561,yes
HUCKLEBERRY_830,dec,west2,tcp8,30,64562,yes
HUCKLEBERRY_830,dec,west2,tcp8,30,64563,yes
HUCKLEBERRY_830,dec,west2,tcp8,30,64564,yes
HUCKLEBERRY_830,dec,west2,tcp8,30,64565,yes
HUCKLEBERRY_830,dec,central,tcp8,30,64566,yes
HUCKLEBERRY_830,dec,central,tcp8,30,64567,yes
HUCKLEBERRY_830,dec,central,tcp8,30,64568,yes
HUCKLEBERRY_830,dec,central,tcp8,30,64570,yes
HUCKLEBERRY_830,dec,west-central,tcp8,30,64571,yes
HUCKLEBERRY_830,dec,west-central,tcp8,30,64572,yes
HUCKLEBERRY_830,dec,west-central,tcp8,30,64573,yes
HUCKLEBERRY_830,dec,west-central,tcp8,30,64576,yes
HUCKLEBERRY_830,dec,north-central,tcp8,30,64577,yes
HUCKLEBERRY_830,dec,north-central,tcp8,30,64578,yes
HUCKLEBERRY_830,dec,north-central,tcp8,30,64579,yes
HUCKLEBERRY_830,dec,north-central,tcp8,30,64580,yes
HUCKLEBERRY_830,dec,south-central,tcp8,30,64581,yes
HUCKLEBERRY_830,dec,south-central,tcp8,30,64582,yes
HUCKLEBERRY_830,dec,south-central,tcp8,30,64583,yes
HUCKLEBERRY_830,dec,south-central,tcp8,30,64585,yes
HUCKLEBERRY_830,dec,east,udp,30,64586,yes
HUCKLEBERRY_830,dec,east,udp,30,64587,yes
