pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-26T18:27:57.542Z,GET,https://www.google.com/ads/ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j87&tid=UA-8814898-13&cid=1918790780.1609007277&jid=334685254&_u=IEBAAEAAAAAAAC~&z=657024942,h3-Q050,-1,200,42,image/gif,42,"no-cache, no-store, must-revalidate",138.78900001873262,2.0720000113304704,0.7630000000000001,63.74699999999999,0.6900000000000119,69.94299999999998,1.5739999944344163,103.605
page_1,2020-12-26T18:27:57.574Z,GET,https://www.6pm.com/event.cgi?CiQ5NTZhNGU5Yi1kMzY4LWM3OWMtM2M2YS00MDNlZDc1ODIwZTgQARoeChJQYWdlIFZpZXcqSG9tZVBhZ2USAS0gg8y6guou,h2,-1,200,35,image/gif,35,"max-age=0, no-cache, no-store",89.43100000033155,1.2399999990817159,-1,-1,0.26999999999999996,87.425,0.4959999932907522,-1
page_1,2020-12-26T18:27:57.577Z,GET,https://c.go-mpulse.net/api/config.json?key=Q9XJS-7ECPU-YHG3G-HBMFB-9Q3DD&d=www.6pm.com&t=5363358&v=1.571.0&if=&sl=0&si=t17fpcwjzxg-NaN&plugins=ConfigOverride,http/1.1,-1,200,3387,application/json,1001,"private, max-age=300, stale-while-revalidate=60, stale-if-error=120",232.1689999953378,1.5820000155493616,21.086,97.719,0.1599999999999966,109.54,2.0819999917875975,67.831
page_1,2020-12-26T18:27:57.612Z,GET,https://www.google-analytics.com/collect?v=1&_v=j87&a=1196062095&t=pageview&_s=2&dl=https%3A%2F%2Fwww.6pm.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=HomePage&sd=24-bit&sr=393x851&vp=393x727&je=0&_u=aEBAAEABAAAAAC~&jid=&gjid=&cid=1918790780.1609007277&tid=UA-8814898-13&_gid=1928471217.1609007277&z=1789940170,h3-Q050,-1,200,35,image/gif,35,"no-cache, no-store, must-revalidate",31.19199999491684,6.3519999966956675,0,5.813,0.3310000000000004,17.747999999999998,0.9480000007897615,0
page_1,2020-12-26T18:27:57.726Z,GET,https://www.6pm.com/onload.cgi?CiQ5NTZhNGU5Yi1kMzY4LWM3OWMtM2M2YS00MDNlZDc1ODIwZTgSJDEyZWUyYzY0LTQ3YTgtMTFlYi05NGQ2LWFmZDQ2ZGY0MGI3NhisgZ7/BSCEAiisgZ7/BTCmBDitgZ7/BUCgAUitgZ7/BVDVBVoLd3d3LjZwbS5jb21iDy9jL2hvbWVwYWdlLW5ld2oJEKyBnv8FGIQCcgkQrIGe/wUYpgR6CRCtgZ7/BRigAYIBCRCtgZ7/BRjVBQ==,h2,-1,200,35,image/gif,35,"max-age=0, no-cache, no-store",93.84399998816662,2.1139999953936783,-1,-1,0.663,90.474,0.5930000043008476,-1
page_1,2020-12-26T18:27:57.730Z,GET,https://www.6pm.com/marty-assets/marty-6pm.53.e611a4a6d764e0a95c7d.js,h2,-1,200,79004,application/javascript,20058,max-age=30756154,38.352000003214926,2.5079999952577055,-1,-1,0.8839999999999999,26.226,8.7340000027325,-1
page_1,2020-12-26T18:27:57.740Z,GET,https://www.6pm.com/marty-assets/microsoft-uet-tag-6pm.html,h2,-1,200,1155,text/html,594,"max-age=0, no-cache, no-store",384.5279999950435,5.272999995939434,-1,-1,0.619,377.863,0.7730000070296228,-1
page_1,2020-12-26T18:27:57.749Z,GET,https://d169bbxks24g2u.cloudfront.net/6pm.html?pageType=home,http/1.1,-1,200,15007,text/html,113.8210000062827,4.101999993911013,24.653000000000002,58.92999999999999,0.09200000000001296,24.563999999999993,1.480000006267801,38.812999999999995
page_1,2020-12-26T18:27:57.743Z,POST,https://www.6pm.com/martypixel?aboveTheFoldLoaded=1609007277568.1&navigationStart=1609007275735&unloadEventStart=0&unloadEventEnd=0&redirectStart=0&redirectEnd=0&fetchStart=1609007276069&domainLookupStart=1609007276075&domainLookupEnd=1609007276088&connectStart=1609007276088&connectEnd=1609007276150&secureConnectionStart=1609007276108&requestStart=1609007276150&responseStart=1609007276445&responseEnd=1609007276454&domLoading=1609007276494&domInteractive=1609007277171&domContentLoadedEventStart=1609007277171&domContentLoadedEventEnd=1609007277171&domComplete=1609007277724&loadEventStart=1609007277724&loadEventEnd=0&type=windowPerfTiming&pageViewType=hard&page=/c/homepage-new&navigationType=navigate&elementCount=878&imgCount=11&scriptCount=22,h2,-1,200,43,image/gif,43,"max-age=0, no-cache, no-store",100.60299999895506,6.66600000147894,-1,-1,0.712,92.665,0.5599999858532101,-1
page_1,2020-12-26T18:27:57.781Z,GET,https://app.link/_r?sdk=web2.56.1&branch_key=key_live_llywpxatREjNANPYlQTV1igovEjHuaU2&callback=branch_callback__0,http/1.1,-1,200,90,text/javascript; charset=utf-8,90,343.67200001724996,2.770000002756715,17.318,105.894,0.11599999999999966,215.102,2.4720000219531357,82.166
page_1,2020-12-26T18:27:57.847Z,GET,https://ds-aksb-a.akamaihd.net/2/259316/b?dE=13&cS=13&cE=75&rqS=75&rsS=370&rsE=379&sS=33&dl=419&di=1096&fp=1034&dlS=1096&dlE=1096&dc=1649&leS=1649&leE=1668&to=&ol=0&cr=24&mt=cellular&mb=100000&b=655617&u=https%3A//www.6pm.com/&ua=Mozilla/5.0%20%28Linux%3B%20Android%2011%3B%20Pixel%205%29%20AppleWebKit/537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome/87.0.4280.101%20Mobile%20Safari/537.36&pl=Linux%20armv8l&us=&gh=23.56.169.100&t=&rid=16ede2d8&r=36275&akM=x&akN=ae&vc=14:17&bpcip=aef8df00&akTX=1&akTI=16ede2d8&ai=241582&pmgn=Grouponwww6pm&pmgi=&pmp=,http/1.1,-1,204,0,text/html,0,"max-age=0, no-cache, no-store, private",35.411000018939376,1.2030000023003669,-1,-1,0.126,33.656,0.42600001324899495,-1
page_1,2020-12-26T18:27:58.131Z,POST,https://api2.branch.io/v1/open,h2,-1,200,265,application/json,265,no-cache,233.28099999343976,1.2820000163726508,16.686,51.348,0.33099999999998886,162.86700000000002,0.766999990446493,33.28
page_1,2020-12-26T18:27:58.400Z,GET,https://www.googletagservices.com/tag/js/gpt.js,h2,-1,200,55288,text/javascript,18846,"private, max-age=900, stale-while-revalidate=3600",169.34900000342168,2.2450000086631627,47.638,66.036,0.17100000000000648,45.92099999999999,7.3379999957978725,46.714
page_1,2020-12-26T18:27:58.404Z,GET,https://c.amazon-adsystem.com/aax2/apstag.js,h2,-1,200,118514,application/javascript,"public, max-age=900",84.38300000852905,2.5959999978300186,-1,-1,0.388,76.048,5.350999999791384,-1
page_1,2020-12-26T18:27:58.538Z,GET,https://www.6pm.com/marty-assets/6pm-app-icon.4cc7cc0118303146f379ca9e61649214.png,h2,-1,200,4587,application/octet-stream,4587,max-age=5969204,29.847999976482242,1.6339999884665013,-1,-1,0.314,27.322999999999997,0.5769999988842756,-1
