time,avg_power,active interface,handover type
187.0,1.2349396079215855,SA 5G,
188.0,1.2520259199999937,SA 5G,
189.0,1.2441175800000006,SA 5G,
190.0,1.2451510800000012,SA 5G,
191.0,1.3170091000000004,SA 5G,
192.0,1.2291981199999986,SA 5G,
193.0,1.2616576799999992,SA 5G,
194.0,1.3642612722544494,SA 5G,
195.0,1.2744416199999977,SA 5G,
196.0,1.4648846000000006,SA 5G,
197.0,1.2945123000000016,SA 5G,
198.0,1.247931240000002,SA 5G,
199.0,1.253721539999997,SA 5G,
200.0,1.2528959800000015,SA 5G,
201.0,1.2849608599999989,SA 5G,
202.0,1.260464192838569,SA 5G,
203.0,1.248536899999998,SA 5G,
204.0,1.2440844600000014,SA 5G,
205.0,1.2559967999999992,SA 5G,
206.0,1.2616698800000015,SA 5G,
207.0,1.2817622600000023,SA 5G,
208.0,1.29194812,SA 5G,
209.0,1.263573354670933,SA 5G,
210.0,1.24894032,SA 5G,
211.0,1.2644318800000038,SA 5G,
212.0,1.2808848200000018,SA 5G,
213.0,1.2935029000000067,SA 5G,
214.0,1.2961882999999998,SA 5G,
215.0,1.2597518,SA 5G,
216.0,1.2844106000000064,SA 5G,5t5
217.0,1.2410879375875137,SA 5G,
218.0,1.2523815999999965,SA 5G,
219.0,1.2541230799999985,SA 5G,
220.0,1.2493479600000001,SA 5G,
221.0,1.2552412999999967,SA 5G,
222.0,1.2524376399999966,SA 5G,
223.0,1.2681030199999928,SA 5G,
224.0,1.238120044008801,SA 5G,
225.0,1.273084499999996,SA 5G,
226.0,1.2678943199999997,SA 5G,
227.0,1.2493479800000007,SA 5G,
228.0,1.2490813799999985,SA 5G,
229.0,1.2478615999999954,SA 5G,
230.0,1.343187399999998,SA 5G,
231.0,1.2570522999999982,SA 5G,
232.0,1.2494193238647733,SA 5G,
233.0,1.2429583400000006,SA 5G,
234.0,1.2511473000000037,SA 5G,
235.0,1.3500093799999986,SA 5G,
236.0,1.2172045600000008,SA 5G,
237.0,1.2533783800000036,SA 5G,
238.0,1.2577432399999977,SA 5G,
239.0,1.23585353070614,SA 5G,
240.0,1.2877048599999972,SA 5G,
241.0,1.2288387400000005,SA 5G,
242.0,1.1972566800000015,SA 5G,
243.0,1.20279182,SA 5G,
244.0,1.2241408399999993,SA 5G,5t5
245.0,1.2788224199999991,SA 5G,
246.0,1.2532260600000025,SA 5G,
247.0,1.236793118623724,SA 5G,
248.0,1.192094040000004,SA 5G,
249.0,1.194897120000004,SA 5G,
250.0,1.2362732,SA 5G,
251.0,1.171567620000001,SA 5G,
252.0,1.1960330200000018,SA 5G,
253.0,1.2638869599999982,SA 5G,
254.0,1.1919337667533505,SA 5G,
255.0,1.315075119999997,SA 5G,
