server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
west2,58.4,119.10999999999999,tcp1d,64325,1278,235.07499933471948,243.2832520795861,323.32167275086726,311.8712032990704,318.9506784130541,256.06320612482807
west2,58.4,119.10999999999999,tcp1d,64327,1278,250.26704179200468,258.5631813971511,343.32250541210266,330.3158367375241,335.99849490533654,276.44345777738613
west2,58.4,119.10999999999999,tcp1d,64328,1278,256.0961993138664,265.3300263423131,351.3418009198381,332.2377957529593,341.5322284207431,275.676727280582
central,24.7,105.14333333333333,tcp1d,64329,234,526.2651254785237,534.8675281844043,570.3308916846136,565.175743334146,566.3010263177964,551.2864995134114
central,24.7,105.14333333333333,tcp1d,64330,234,486.8524259204225,502.7291964792469,558.7799577660077,556.8323036778156,557.3419582643912,533.8026790756821
central,24.7,105.14333333333333,tcp1d,64331,234,345.2846391470337,359.9847828393709,585.1698764701467,557.095146420174,574.9240266601112,445.07212142507683
central,24.7,105.14333333333333,tcp1d,64332,234,587.8619422934357,598.9818356633417,631.1920186045437,630.6332672231443,631.0103907847953,621.5950678739262
north-central,19.9,71.53666666666666,tcp1d,64334,352,749.9375539437647,773.7174080952328,841.7253792914239,834.0608628264395,836.1915633892484,817.0874924146694
north-central,19.9,71.53666666666666,tcp1d,64340,352,438.5929041256962,463.6692367247905,823.7120514594453,809.2080982978039,813.5290804060571,542.907432592504
north-central,19.9,71.53666666666666,tcp1d,64342,352,756.2304333616531,780.7521488851552,841.188342473249,836.091531456712,837.8477261407331,826.2404606500595
north-central,19.9,71.53666666666666,tcp1d,64345,352,810.1898417382005,814.2243239530294,838.6270758177403,828.1128975442928,829.3393549967423,819.0883523804575
south-central,93.2,133.82333333333335,tcp1d,64346,1112,409.6784009850792,417.2193913031473,443.6387905381886,437.23200784572634,438.412445958615,426.64862816154925
south-central,93.2,133.82333333333335,tcp1d,64347,1112,377.72906771485316,390.72111760241864,441.2661812771364,439.3410774795475,439.91820643643575,423.10223890086
south-central,93.2,133.82333333333335,tcp1d,64348,1112,339.54837442724084,352.6368590281893,435.0216722586385,429.0208366331878,430.2735330343047,415.11533796341473
south-central,93.2,133.82333333333335,tcp1d,64349,1112,354.1110349916489,364.67498056079785,426.29138687760036,411.2260103509087,413.5614567315582,382.4385242907155
west-central,85.3,127.40333333333334,tcp1d,64352,903,417.8991340647654,425.20342528249347,458.4393519315503,451.93815123131156,453.1074403559684,439.73992092080204
west-central,85.3,127.40333333333334,tcp1d,64353,903,381.875328386063,391.37775785552554,432.4120698720911,428.02023001133284,428.8012346019516,412.2582052718618
west-central,85.3,127.40333333333334,tcp1d,64354,903,386.56676491208265,394.51786847644854,420.0329670675043,417.47998836218125,418.76404895059676,411.35204688428274
west-central,85.3,127.40333333333334,tcp1d,64355,903,344.34931649461225,357.3488027662327,426.7234890850371,423.1938715105026,423.95704781688386,414.1854208694532
east,87.5,141.90333333333334,tcp1c,64356,871,1386.8091582885245,1432.1014074382801,1592.5768806394935,1580.163751232822,1585.909982492767,1542.1699758003174
