nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-78,7103.56944,CONNECTED,0.808267,-92,10,4608.726987,6261.024,424.67699999999996,60.124313
-78,7724.167640000001,CONNECTED,0.888201,-72,22,5479.606356,7102.922,795.22,80.035302
-76,7679.65308,CONNECTED,1.036227,-62,22,5184.810627000001,6858.9088,191.36,104.949025
-78,7502.23814,CONNECTED,0.8881600000000001,-70,21,5257.676856,7072.3282,796.22,80.424966
-78,9361.81062,CONNECTED,2535.559969,-60,20,7040.81062,8865.351,182.43900000000002,1.497247
-78,7074.17262,CONNECTED,1287.687645,-61,20,4753.17262,6354.9512,191.408,0.8313200000000001
-77,9800.6416,CONNECTED,2916.044538,-59,12,7461.6416,9087.7749,178.33900000000003,1.890811
-78,8458.67574,CONNECTED,1814.4494109999998,-58,21,6137.67574,6974.319,173.38,1.244658
-77,8927.766940000001,CONNECTED,2424.4477260000003,-72,19,6606.7669399999995,9290.43,941.505,1.664779
-75,10089.9734,CONNECTED,2904.0535,-61,19,7750.9734,9294.7317,168.321,1.730837
-75,8670.40806,CONNECTED,1580.182842,-58,16,6331.40806,8475.1684,176.338,1.392248
-78,8273.09492,CONNECTED,1732.6944019999999,-63,18,5952.0949200000005,7703.2927,183.393,1.252437
-77,9918.94622,CONNECTED,2969.861444,-58,19,7579.946220000001,9197.712,134.25,1.852398
-78,9072.47116,CONNECTED,2458.695365,-59,22,6733.471159999999,8159.6836,159.291,1.696547
-75,9724.1678,CONNECTED,2750.357868,-64,18,7403.1678,9291.7746,157.345,1.512618
-72,8581.24628,CONNECTED,2249.681064,-55,16,6242.246279999999,8107.9752,146.276,1.85625
-74,6353.96656,CONNECTED,0.79122,-85,14,4014.9665600000003,6461.31,408.528,57.907601
-78,8007.6592,CONNECTED,1.2518559999999999,-64,11,5512.816747,6960.6424,196.36700000000002,149.419734
-78,10050.511340000001,CONNECTED,2518.394938,-60,18,7711.511340000001,9331.8,152.29399999999998,1.7323220000000001
-78,8379.39444,CONNECTED,1790.844741,-60,19,6058.39444,7762.9344,194.41400000000002,1.1915069999999999
