enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,Verizon,9.5,90,90,4,YEP
4G-LTE,Verizon,9.6,330,330,4,YEP
4G-LTE,Verizon,9.7,237,237,4,YEP
4G-LTE,Verizon,9.8,103,103,4,YEP
4G-LTE,Verizon,9.9,560,560,4,YEP
4G-LTE,Verizon,10,343,343,4,YEP
4G-LTE,Verizon,10.1,514,514,4,YEP
4G-LTE,Verizon,10.2,1320,1320,4,YEP
4G-LTE,Verizon,10.3,1240,1240,4,YEP
4G-LTE,Verizon,10.4,1100,1100,4,YEP
4G-LTE,Verizon,10.5,1033,1032,4,YEP
4G-LTE,Verizon,10.6,903,903,4,YEP
4G-LTE,Verizon,10.7,832,832,4,YEP
4G-LTE,Verizon,10.8,721,721,4,YEP
4G-LTE,Verizon,10.9,619,618,4,YEP
4G-LTE,Verizon,11,517,516,4,YEP
4G-LTE,Verizon,11.1,422,421,4,YEP
4G-LTE,Verizon,11.2,313,312,4,YEP
4G-LTE,Verizon,11.3,1517,1516,4,YEP
4G-LTE,Verizon,11.4,1403,1403,4,YEP
4G-LTE,Verizon,11.5,1280,1280,4,YEP
4G-LTE,Verizon,11.6,1220,1220,4,YEP
4G-LTE,Verizon,11.7,1120,1120,4,YEP
4G-LTE,Verizon,11.8,960,960,4,YEP
4G-LTE,Verizon,11.9,919,920,4,YEP
4G-LTE,Verizon,12,800,800,4,YEP
4G-LTE,Verizon,12.1,681,680,4,YEP
4G-LTE,Verizon,12.2,619,620,4,YEP
4G-LTE,Verizon,12.3,483,484,4,YEP
4G-LTE,Verizon,12.4,415,416,4,YEP
4G-LTE,Verizon,12.5,1579,1580,4,YEP
4G-LTE,Verizon,12.6,1459,1460,4,YEP
4G-LTE,Verizon,12.7,1400,1400,4,YEP
4G-LTE,Verizon,12.8,1266,1267,4,YEP
4G-LTE,Verizon,12.9,1176,1176,4,YEP
4G-LTE,Verizon,13,1079,1080,4,YEP
4G-LTE,Verizon,13.1,997,997,4,YEP
4G-LTE,Verizon,13.2,883,883,4,YEP
4G-LTE,Verizon,13.3,757,757,4,YEP
4G-LTE,Verizon,13.4,680,680,4,YEP
4G-LTE,Verizon,13.5,600,600,4,YEP
4G-LTE,Verizon,13.6,467,467,4,YEP
4G-LTE,Verizon,13.7,378,377,4,YEP
4G-LTE,Verizon,13.8,1555,1554,4,YEP
4G-LTE,Verizon,13.9,1468,1467,4,YEP
4G-LTE,Verizon,14,1372,1371,4,YEP
4G-LTE,Verizon,14.1,1260,1259,4,YEP
4G-LTE,Verizon,14.2,1153,1152,4,YEP
4G-LTE,Verizon,14.3,1063,1063,4,YEP
4G-LTE,Verizon,14.4,951,951,4,YEP
4G-LTE,Verizon,14.5,853,853,4,YEP
4G-LTE,Verizon,14.6,760,760,4,YEP
4G-LTE,Verizon,14.7,680,680,4,YEP
4G-LTE,Verizon,14.8,548,548,4,YEP
4G-LTE,Verizon,14.9,463,463,4,YEP
