enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-mmWave,Verizon,2.4,85,85,5,YEP
5G-NSA-mmWave,Verizon,2.5,130,129,5,YEP
5G-NSA-mmWave,Verizon,2.6,122,123,5,YEP
5G-NSA-mmWave,Verizon,2.7,102,103,5,YEP
5G-NSA-mmWave,Verizon,2.8,74,74,5,YEP
5G-NSA-mmWave,Verizon,2.9,68,68,5,YEP
5G-NSA-mmWave,Verizon,3,114,115,5,YEP
5G-NSA-mmWave,Verizon,3.1,104,105,5,YEP
5G-NSA-mmWave,Verizon,3.2,77,77,5,YEP
5G-NSA-mmWave,Verizon,3.3,135,134,5,YEP
5G-NSA-mmWave,Verizon,3.4,122,122,5,YEP
5G-NSA-mmWave,Verizon,3.5,97,97,5,YEP
5G-NSA-mmWave,Verizon,3.6,85,85,5,YEP
5G-NSA-mmWave,Verizon,3.7,145,144,5,YEP
5G-NSA-mmWave,Verizon,3.8,115,114,5,YEP
5G-NSA-mmWave,Verizon,3.9,97,97,5,YEP
5G-NSA-mmWave,Verizon,4,82,82,5,YEP
5G-NSA-mmWave,Verizon,4.1,115,115,5,YEP
5G-NSA-mmWave,Verizon,4.2,67,68,5,YEP
5G-NSA-mmWave,Verizon,4.3,99,98,5,YEP
5G-NSA-mmWave,Verizon,4.4,76,77,5,YEP
5G-NSA-mmWave,Verizon,4.5,68,67,5,YEP
5G-NSA-mmWave,Verizon,4.6,92,91,5,YEP
5G-NSA-mmWave,Verizon,4.7,123,122,5,YEP
5G-NSA-mmWave,Verizon,4.8,77,77,5,YEP
5G-NSA-mmWave,Verizon,4.9,61,61,5,YEP
5G-NSA-mmWave,Verizon,5,124,124,5,YEP
5G-NSA-mmWave,Verizon,5.1,95,95,5,YEP
5G-NSA-mmWave,Verizon,5.2,80,80,5,YEP
5G-NSA-mmWave,Verizon,5.3,65,66,5,YEP
5G-NSA-mmWave,Verizon,5.4,106,106,5,YEP
5G-NSA-mmWave,Verizon,5.5,115,115,5,YEP
5G-NSA-mmWave,Verizon,5.6,74,75,5,YEP
