time,avg_power,active interface,handover type
130.0,3.509859880000014,4G,
131.0,3.3353514000000106,4G,
132.0,3.470474319999987,4G,
133.0,3.13410189999999,4G,
134.0,2.9481810562112396,4G,
135.0,2.678605959999989,4G,
136.0,3.747927460000035,4G,
137.0,3.168859780000002,NSA 5G,4t5
138.0,3.4947157400000024,NSA 5G,
139.0,2.6558263399999866,NSA 5G,
140.0,3.0983961999999985,NSA 5G,
141.0,3.294458080000004,NSA 5G,
142.0,3.650811482296456,NSA 5G,
143.0,3.7268732599999983,NSA 5G,
144.0,3.3334134,NSA 5G,
145.0,3.0279650600000054,NSA 5G,
146.0,3.4417577200000022,NSA 5G,
147.0,2.760590000000007,NSA 5G,
148.0,3.628869140000013,NSA 5G,
149.0,2.991053950790164,NSA 5G,
150.0,3.6102769200000084,4G,5t4
151.0,2.8558898199999962,4G,
152.0,3.3120368399999958,4G,
153.0,2.8514725200000024,4G,
154.0,2.830254740000004,4G,
155.0,2.9945562199999993,4G,
156.0,3.6161639399999905,NSA 5G,4t5
