pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,responseCacheControl,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-24T13:34:43.272Z,GET,https://cdn.krxd.net/controltag/uu13o0alt.js,h2,-1,200,11227,text/javascript; charset=utf-8,3657,"public, max-age=1200",174.74199999924167,34.506999999554594,24.116,84.066,2.7920000000000016,27.66900000000001,1.59200000052806,49.961999999999996
page_1,2020-12-24T13:34:43.387Z,GET,https://www.23andme.com/assets/img/home/hero/dec2020/trees-mobile.png,h2,-1,200,69194,image/png,69194,"public, max-age=31536000",64.7949999984121,3.616000000340864,-1,-1,21.695,29.794,9.68999999895459,-1
page_1,2020-12-24T13:34:43.389Z,GET,https://www.23andme.com/assets/svg/chromo-mobile.svg,h2,-1,200,33871,image/svg+xml,"public, max-age=31536000",108.68699999991804,13.855999998708489,-1,-1,10.935999999999998,82.573,1.322000000072876,-1
page_1,2020-12-24T13:34:43.390Z,GET,https://www.23andme.com/assets/img/home/hero/covid-earth-watermark.png,h2,-1,200,49128,image/png,49128,"public, max-age=31536000",68.26999999975669,23.930999999004186,-1,-1,3.3599999999999994,38.376999999999995,2.6020000004791655,-1
page_1,2020-12-24T13:34:43.392Z,GET,https://www.23andme.com/assets/svg/kit-sticker/best-value.svg,h2,-1,200,1941,image/svg+xml,"public, max-age=31536000",96.67199999967124,23.838000000527593,-1,-1,1.2060000000000004,70.452,1.1759999979403801,-1
page_1,2020-12-24T13:34:43.875Z,GET,https://fast.fonts.net/t/1.css?apiType=css&projectid=b8fd4cd3-2fb0-4055-aa42-f9f169645968,h2,-1,200,0,text/css,0,no-cache,401.3009999980568,1.6429999977531842,-1,-1,0.17800000000000005,49.49,349.98999999879743,-1
page_1,2020-12-24T13:34:44.077Z,GET,https://cdn.krxd.net/ctjs/controltag.js.0631b7d64dbbd3656a8b7368ad227a04,h2,-1,200,265468,application/javascript,84451,"public, max-age=315360000",123.79299999884097,2.007000000189524,-1,-1,0.2700000000000001,89.69099999999999,31.824999998207204,-1
page_1,2020-12-24T13:34:44.296Z,GET,https://heapanalytics.com/h?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&z=0&h=%2F&d=www.23andme.com&t=DNA%20Genetic%20Testing%20%26%20Analysis%20-%2023andMe&ts=1608816884288&st=1608816884294,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",194.4919999987178,3.758999997840263,22.254,128.298,1.3739999999999952,38.260999999999996,0.5459999993036035,64.18
page_1,2020-12-24T13:34:44.297Z,GET,https://heapanalytics.com/api/add_user_properties_v3?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&_Referral%20program%20friend%20banner%20-%20add%20to%20cart%20to%20get%20discount=Variation%20%231&st=1608816884296,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",194.90700000096695,153.8860000007404,-1,-1,1.2789999999999964,39.251000000000005,0.490999998874031,-1
page_1,2020-12-24T13:34:44.297Z,GET,https://heapanalytics.com/api/add_user_properties_v3?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&_US%20Prospects%20Audience=Original&st=1608816884296,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",196.03300000017043,153.54500000184657,-1,-1,1.1850000000000023,40.81200000000001,0.490999998874031,-1
page_1,2020-12-24T13:34:44.298Z,GET,https://heapanalytics.com/api/add_user_properties_v3?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&_Banner%20Test%20-%20COVID%20Blood%20Finding%20(Homepage%20%26%20PDPs)%20(winner)=Test%202%20-%20%22COVID%20blood%20finding%22%20banner&st=1608816884296,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",201.8160000006901,153.24799999928987,-1,-1,1.1029999999999802,41.61100000000002,5.854000002727844,-1
page_1,2020-12-24T13:34:44.298Z,GET,https://heapanalytics.com/api/add_user_properties_v3?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&_Email%20Welcome%20Series%20Test%20-%20Oct%202020=old&st=1608816884296,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",203.3080000001064,152.90999999792152,-1,-1,1.024000000000001,48.872000000000014,0.5020000025979243,-1
page_1,2020-12-24T13:34:44.298Z,GET,https://heapanalytics.com/api/add_user_properties_v3?a=244557998&u=8374522793670140&v=2959634607317230&s=6934336278611070&b=web&tv=4.0&_December%20Timer%20Test%20(end%20of%20promo)%20-%20Control=Control&st=1608816884296,h2,-1,200,37,image/gif,37,"private, no-cache, no-cache=Set-Cookie, proxy-revalidate",203.62799999929848,152.62399999726495,-1,-1,0.9369999999999834,49.66,0.4070000031788368,-1
page_1,2020-12-24T13:34:44.338Z,GET,https://www.googleadservices.com/pagead/conversion_async.js,h2,-1,200,31077,text/javascript; charset=UTF-8,12179,"private, max-age=3600",190.93200000133947,1.4409999992034863,14.015,98.211,0.5700000000000074,72.8,3.895000001648441,75.73100000000001
page_1,2020-12-24T13:34:44.344Z,GET,https://www.google-analytics.com/analytics.js,h2,-1,200,47051,text/javascript,18817,"public, max-age=7200",147.98699999664677,1.5439999991226943,0.024999999999999967,99.397,6.025999999999996,19.709000000000003,21.285999999236083,43.296
page_1,2020-12-24T13:34:44.369Z,GET,https://s.pinimg.com/ct/core.js,h2,-1,200,1142,application/javascript,583,max-age=7200,220.68399999989197,1.226999998586718,16.360000000000003,129.175,0.4469999999999743,72.91900000000001,0.5560000026889611,70.98199999999999
