parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_start,_end,_seconds,bits_per_second,rtt,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:12-06:00,23:45:12,61.0,62.0,1.0,72400000.0,-1,parallel-merged,72.4,77,S20UPM,61
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:13-06:00,23:45:13,62.0,63.0,1.0,72400000.0,-1,parallel-merged,72.4,77,S20UPM,62
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:14-06:00,23:45:14,63.0,64.0,1.0,91200000.0,-1,parallel-merged,91.2,77,S20UPM,63
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:15-06:00,23:45:15,64.0,65.0,1.0,87000000.0,-1,parallel-merged,87.0,77,S20UPM,64
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:16-06:00,23:45:16,65.0,66.0,1.0,82800000.0,-1,parallel-merged,82.8,77,S20UPM,65
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:17-06:00,23:45:17,66.0,67.0,1.0,82800000.0,-1,parallel-merged,82.8,77,S20UPM,66
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:18-06:00,23:45:18,67.0,68.0,1.0,90200000.0,-1,parallel-merged,90.2,77,S20UPM,67
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:19-06:00,23:45:19,68.0,69.0,1.0,90200000.0,-1,parallel-merged,90.2,77,S20UPM,68
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:20-06:00,23:45:20,69.0,70.0,1.0,102000000.0,-1,parallel-merged,102.0,77,S20UPM,69
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:21-06:00,23:45:21,70.0,71.0,1.0,72400000.0,-1,parallel-merged,72.4,77,S20UPM,70
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:22-06:00,23:45:22,71.0,72.0,1.0,88100000.0,-1,parallel-merged,88.1,77,S20UPM,71
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:23-06:00,23:45:23,72.0,73.0,1.0,99600000.0,-1,parallel-merged,99.6,77,S20UPM,72
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:24-06:00,23:45:24,73.0,74.0,1.0,74500000.0,-1,parallel-merged,74.5,77,S20UPM,73
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:25-06:00,23:45:25,74.0,75.0,1.0,81800000.0,-1,parallel-merged,81.8,77,S20UPM,74
